¼øÀ§,ÆÀ¸í,AVG,BB,IBB,HBP,SO,GDP,SLG,OBP,OPS,MH,RISP,PH-BA
6,KIA,0.27399999999999997,535,10,69,957,114,0.40399999999999997,0.35100000000000003,0.755,144,0.284,0.258
3,KT,0.284,554,20,52,1097,104,0.436,0.358,0.794,144,0.289,0.192
4,LG,0.27699999999999997,509,21,75,969,115,0.428,0.349,0.777,144,0.31,0.223
2,NC,0.29100000000000004,529,21,104,997,106,0.462,0.366,0.828,144,0.33,0.28600000000000003
9,SK,0.25,511,18,69,981,112,0.38299999999999995,0.32899999999999996,0.7120000000000001,144,0.254,0.203
1,µÎ»ê,0.293,551,20,68,796,132,0.42700000000000005,0.365,0.792,142,0.29100000000000004,0.24600000000000002
5,·Ôµ¥,0.276,569,18,55,875,148,0.408,0.353,0.7609999999999999,144,0.28300000000000003,0.21600000000000003
8,»ï¼º,0.268,486,10,62,990,117,0.39399999999999996,0.33799999999999997,0.732,144,0.272,0.26
7,Å°¿ò,0.26899999999999996,608,16,73,1030,107,0.408,0.355,0.763,144,0.281,0.21100000000000002
10,ÇÑÈ­,0.245,462,9,89,1163,119,0.33799999999999997,0.32,0.6579999999999999,144,0.245,0.22
