¼øÀ§,ÆÀ¸í,AVG,BB,IBB,HBP,SO,GDP,SLG,OBP,OPS,MH,RISP,PH-BA
1,µÎ»ê,0.298,600,11,86,884,121,0.473,0.378,0.851,144,0.305,0.261
2,³Ø¼¾,0.293,556,17,63,956,121,0.440,0.368,0.808,144,0.306,0.244
3,»ï¼º,0.293,552,15,75,864,119,0.439,0.367,0.806,144,0.298,0.221
4,SK,0.291,429,13,102,1018,104,0.454,0.356,0.810,142,0.276,0.299
5,NC,0.291,609,18,93,1023,133,0.450,0.375,0.825,143,0.302,0.239
6,LG,0.290,523,10,72,982,92,0.417,0.361,0.778,143,0.286,0.236
7,ÇÑÈ­,0.289,510,19,91,1025,123,0.431,0.362,0.793,144,0.301,0.280
8,·Ôµ¥,0.288,596,18,83,1061,120,0.422,0.370,0.792,144,0.285,0.251
9,KIA,0.286,499,12,87,997,109,0.452,0.358,0.810,144,0.288,0.286
10,KT,0.276,499,7,48,933,130,0.394,0.345,0.739,144,0.278,0.220
